name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Cold Axe,2,1,0,239,39,7525,28,0,0,0.1,1.5,0,0,753,709,0
,,2,0,358,58,8779,34,0,0,0.1,1.5,0,0,828,779,0
,,3,0,478,78,10033,40,0,0,0.1,1.5,0,0,903,850,0
,,4,0,597,97,11287,45,0,0,0.1,1.5,0,0,979,921,0
,,5,0,717,116,12541,51,0,0,0.1,1.5,0,0,1054,992,0
,,6,0,836,136,13795,57,0,0,0.1,1.5,0,0,1129,1063,0
,,7,0,4101,666,62193,105,0,0,0.1,1.5,0,0,1205,1134,0
,,8,0,5012,814,71761,115,0,0,0.1,1.5,0,0,1280,1205,0
,,9,0,5923,963,81329,124,0,0,0.1,1.5,0,0,1355,1276,0
,,10,0,6834,1111,90897,134,0,0,0.1,1.5,0,0,1431,1346,0
,,11,0,7746,1259,100465,143,0,0,0.1,1.5,0,0,1506,1417,0
,,12,0,8657,1407,110033,153,0,0,0.1,1.5,0,0,1581,1488,0
,,13,0,12985,2110,165049,183,0,0,0.1,1.5,0,0,1739,1636,0
,,6,1,24,8,627,0,0,0,0,0,0,0,0,0,0
,,12,1,182,59,4784,0,0,0,0,0,0,0,0,0,0
,,13,1,273,88,7176,0,0,0,0,0,0,0,0,0,0
