name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Silene,5,1,0,351,50,4563,29,0,0,0.1,1.5,0,0,732,732,0
,,2,0,570,81,7415,35,0,0,0.1,1.5,0,0,805,805,0
,,3,0,834,119,10837,41,0,0,0.1,1.5,0,0,878,878,0
,,4,0,1448,207,18822,47,0,0,0.1,1.5,0,0,952,952,0
,,5,0,2150,307,27948,53,0,0,0.1,1.5,0,0,1025,1025,0
,,6,0,3115,445,40497,67,0,0,0.1,1.5,0,0,1098,1098,0
,,7,0,5572,796,72438,82,0,0,0.1,1.5,0,0,1171,1171,0
,,8,0,7064,1009,91830,97,0,0,0.1,1.5,0,0,1244,1244,0
,,9,0,8907,1272,115786,111,0,0,0.1,1.5,0,0,1318,1318,0
,,10,0,11100,1586,144305,126,0,0,0.1,1.5,0,0,1391,1391,0
,,11,0,13733,1962,178527,141,0,0,0.1,1.5,0,0,1464,1464,0
,,12,0,16892,2413,219594,155,0,0,0.1,1.5,0,0,1537,1537,0
,,13,0,25338,3619,329391,186,0,0,0.1,1.5,0,0,1690,1690,0
,,1,1,18,3,228,0,0,0,0,0,0,0,0,0,0
,,2,1,22,3,285,0,0,0,0,0,0,0,0,0,0
,,3,1,26,4,342,0,0,0,0,0,0,0,0,0,0
,,4,1,31,4,399,0,0,0,0,0,0,0,0,0,0
,,5,1,35,5,456,0,0,0,0,0,0,0,0,0,0
,,6,1,48,7,627,0,0,0,0,0,0,0,0,0,0
,,7,1,61,9,799,0,0,0,0,0,0,0,0,0,0
,,8,1,75,11,970,0,0,0,0,0,0,0,0,0,0
,,9,1,92,13,1198,0,0,0,0,0,0,0,0,0,0
,,10,1,110,16,1426,0,0,0,0,0,0,0,0,0,0
,,11,1,132,19,1711,0,0,0,0,0,0,0,0,0,0
,,12,1,158,23,2053,0,0,0,0,0,0,0,0,0,0
,,13,1,237,34,3079,0,0,0,0,0,0,0,0,0,0
