name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Krag,4,1,0,114,14,1170,24,0,0,0.1,1.5,0,0,605,605,0
,,2,0,185,22,1901,29,0,0,0.1,1.5,0,0,666,666,0
,,3,0,271,33,2779,34,0,0,0.1,1.5,0,0,726,726,0
,,4,0,470,57,4826,39,0,0,0.1,1.5,0,0,787,787,0
,,5,0,698,84,7166,44,0,0,0.1,1.5,0,0,847,847,0
,,6,0,1012,122,10384,56,0,0,0.1,1.5,0,0,908,908,0
,,7,0,1810,218,18574,68,0,0,0.1,1.5,0,0,968,968,0
,,8,0,2294,276,23546,80,0,0,0.1,1.5,0,0,1029,1029,0
,,9,0,2893,348,29689,92,0,0,0.1,1.5,0,0,1089,1089,0
,,10,0,3605,434,37001,104,0,0,0.1,1.5,0,0,1150,1150,0
,,11,0,4460,537,45776,116,0,0,0.1,1.5,0,0,1210,1210,0
,,12,0,5486,660,56306,128,0,0,0.1,1.5,0,0,1271,1271,0
,,13,0,8229,990,84459,153,0,0,0.1,1.5,0,0,1398,1398,0
,,1,1,6,1,59,0,0,0,0,0,0,0,0,0,0
,,2,1,7,1,73,0,0,0,0,0,0,0,0,0,0
,,3,1,9,1,88,0,0,0,0,0,0,0,0,0,0
,,4,1,10,1,102,0,0,0,0,0,0,0,0,0,0
,,5,1,11,1,117,0,0,0,0,0,0,0,0,0,0
,,6,1,16,2,161,0,0,0,0,0,0,0,0,0,0
,,7,1,20,2,205,0,0,0,0,0,0,0,0,0,0
,,8,1,24,3,249,0,0,0,0,0,0,0,0,0,0
,,9,1,30,4,307,0,0,0,0,0,0,0,0,0,0
,,10,1,36,4,366,0,0,0,0,0,0,0,0,0,0
,,11,1,43,5,439,0,0,0,0,0,0,0,0,0,0
,,12,1,51,6,527,0,0,0,0,0,0,0,0,0,0
,,13,1,76,9,790,0,0,0,0,0,0,0,0,0,0
