name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
FireSpirit,3,1,0,68,9,1144,19,0,0.2,0.1,1.5,0,0,490,475,0
,,2,0,111,15,1859,23,0,0.2,0.1,1.5,0,0,539,523,0
,,3,0,162,22,2717,27,0,0.2,0.1,1.5,0,0,588,570,0
,,4,0,281,38,4719,30,0,0.2,0.1,1.5,0,0,637,618,0
,,5,0,417,56,7007,34,0,0.2,0.1,1.5,0,0,686,665,0
,,6,0,604,81,10153,44,0,0.2,0.1,1.5,0,0,735,713,0
,,7,0,1080,145,18161,53,0,0.2,0.1,1.5,0,0,784,760,0
,,8,0,1369,184,23023,63,0,0.2,0.1,1.5,0,0,833,808,0
,,9,0,1726,232,29029,72,0,0.2,0.1,1.5,0,0,882,855,0
,,10,0,2151,289,36179,82,0,0.2,0.1,1.5,0,0,931,903,0
,,11,0,2661,358,44759,91,0,0.2,0.1,1.5,0,0,980,950,0
,,12,0,3273,440,55055,101,0,0.2,0.1,1.5,0,0,1029,998,0
,,13,0,4909,660,82582,121,0,0.2,0.1,1.5,0,0,1131,1097,0
,,1,1,3,1,57,0,0,0,0,0,0,0,0,0,0
,,2,1,4,1,72,0,0,0,0,0,0,0,0,0,0
,,3,1,5,1,86,0,0,0,0,0,0,0,0,0,0
,,4,1,6,1,100,0,0,0,0,0,0,0,0,0,0
,,5,1,7,1,114,0,0,0,0,0,0,0,0,0,0
,,6,1,9,1,157,0,0,0,0,0,0,0,0,0,0
,,7,1,12,2,200,0,0,0,0,0,0,0,0,0,0
,,8,1,15,2,243,0,0,0,0,0,0,0,0,0,0
,,9,1,18,2,300,0,0,0,0,0,0,0,0,0,0
,,10,1,21,3,358,0,0,0,0,0,0,0,0,0,0
,,11,1,26,3,429,0,0,0,0,0,0,0,0,0,0
,,12,1,31,4,515,0,0,0,0,0,0,0,0,0,0
,,13,1,46,6,772,0,0,0,0,0,0,0,0,0,0
