name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Nero,1,1,0,411,59,5042,29,0,0.3,0.1,1.5,0,0,805,725,0
,,2,0,667,95,8193,35,0,0.3,0.1,1.5,0,0,886,797,0
,,3,0,975,139,11975,41,0,0.3,0.1,1.5,0,0,966,870,0
,,4,0,1694,242,20799,46,0,0.3,0.1,1.5,0,0,1047,942,0
,,5,0,2515,359,30883,52,0,0.3,0.1,1.5,0,0,1127,1015,0
,,6,0,3645,521,44749,67,0,0.3,0.1,1.5,0,0,1208,1087,0
,,7,0,6519,931,80044,81,0,0.3,0.1,1.5,0,0,1288,1160,0
,,8,0,8265,1181,101473,96,0,0.3,0.1,1.5,0,0,1369,1232,0
,,9,0,10421,1489,127944,110,0,0.3,0.1,1.5,0,0,1449,1305,0
,,10,0,12987,1855,159457,125,0,0.3,0.1,1.5,0,0,1530,1377,0
,,11,0,16067,2295,197273,139,0,0.3,0.1,1.5,0,0,1611,1449,0
,,12,0,19763,2823,242652,154,0,0.3,0.1,1.5,0,0,1691,1522,0
,,13,0,29644,4234,363978,184,0,0.3,0.1,1.5,0,0,1860,1674,0
,,1,1,21,3,252,0,0,0,0,0,0,0,0,0,0
,,2,1,26,4,315,0,0,0,0,0,0,0,0,0,0
,,3,1,31,4,378,0,0,0,0,0,0,0,0,0,0
,,4,1,36,5,441,0,0,0,0,0,0,0,0,0,0
,,5,1,41,6,504,0,0,0,0,0,0,0,0,0,0
,,6,1,57,8,693,0,0,0,0,0,0,0,0,0,0
,,7,1,72,10,882,0,0,0,0,0,0,0,0,0,0
,,8,1,87,13,1071,0,0,0,0,0,0,0,0,0,0
,,9,1,108,15,1324,0,0,0,0,0,0,0,0,0,0
,,10,1,128,18,1576,0,0,0,0,0,0,0,0,0,0
,,11,1,154,22,1891,0,0,0,0,0,0,0,0,0,0
,,12,1,185,26,2269,0,0,0,0,0,0,0,0,0,0
,,13,1,277,39,3403,0,0,0,0,0,0,0,0,0,0
