name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Jormungand,1,1,0,269,27,4569,32,0,0.3,0.1,1.5,0,0,886,797,0
,,2,0,403,40,5330,38,0,0.3,0.1,1.5,0,0,974,877,0
,,3,0,537,54,6091,45,0,0.3,0.1,1.5,0,0,1063,957,0
,,4,0,672,67,6853,51,0,0.3,0.1,1.5,0,0,1152,1036,0
,,5,0,806,81,7614,57,0,0.3,0.1,1.5,0,0,1240,1116,0
,,6,0,941,94,8376,64,0,0.3,0.1,1.5,0,0,1329,1196,0
,,7,0,4613,461,37760,118,0,0.3,0.1,1.5,0,0,1417,1276,0
,,8,0,5638,564,43569,129,0,0.3,0.1,1.5,0,0,1506,1355,0
,,9,0,6664,666,49378,140,0,0.3,0.1,1.5,0,0,1594,1435,0
,,10,0,7689,769,55188,150,0,0.3,0.1,1.5,0,0,1683,1515,0
,,11,0,8714,871,60997,161,0,0.3,0.1,1.5,0,0,1772,1594,0
,,12,0,9739,974,66806,172,0,0.3,0.1,1.5,0,0,1860,1674,0
,,13,0,14608,1461,100209,206,0,0.3,0.1,1.5,0,0,2046,1841,0
,,6,1,27,5,381,0,0,0,0,0,0,0,0,0,0
,,12,1,205,41,2905,0,0,0,0,0,0,0,0,0,0
,,13,1,307,61,4357,0,0,0,0,0,0,0,0,0,0
