name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Black Arrow,5,1,0,386,55,5019,29,0,0,0.1,1.5,0,0,732,732,0
,,2,0,627,89,8157,35,0,0,0.1,1.5,0,0,805,805,0
,,3,0,917,131,11921,41,0,0,0.1,1.5,0,0,878,878,0
,,4,0,1593,228,20704,47,0,0,0.1,1.5,0,0,952,952,0
,,5,0,2365,338,30743,53,0,0,0.1,1.5,0,0,1025,1025,0
,,6,0,3427,490,44547,67,0,0,0.1,1.5,0,0,1098,1098,0
,,7,0,6129,876,79682,82,0,0,0.1,1.5,0,0,1171,1171,0
,,8,0,7770,1110,101013,97,0,0,0.1,1.5,0,0,1244,1244,0
,,9,0,9798,1399,127365,111,0,0,0.1,1.5,0,0,1318,1318,0
,,10,0,12210,1745,158736,126,0,0,0.1,1.5,0,0,1391,1391,0
,,11,0,15106,2158,196380,141,0,0,0.1,1.5,0,0,1464,1464,0
,,12,0,18581,2654,241553,155,0,0,0.1,1.5,0,0,1537,1537,0
,,13,0,27871,3981,362329,186,0,0,0.1,1.5,0,0,1690,1690,0
,,1,1,19,3,251,0,0,0,0,0,0,0,0,0,0
,,2,1,24,3,314,0,0,0,0,0,0,0,0,0,0
,,3,1,29,4,376,0,0,0,0,0,0,0,0,0,0
,,4,1,34,5,439,0,0,0,0,0,0,0,0,0,0
,,5,1,39,6,502,0,0,0,0,0,0,0,0,0,0
,,6,1,53,8,690,0,0,0,0,0,0,0,0,0,0
,,7,1,68,10,878,0,0,0,0,0,0,0,0,0,0
,,8,1,82,12,1067,0,0,0,0,0,0,0,0,0,0
,,9,1,101,15,1318,0,0,0,0,0,0,0,0,0,0
,,10,1,121,17,1568,0,0,0,0,0,0,0,0,0,0
,,11,1,145,21,1882,0,0,0,0,0,0,0,0,0,0
,,12,1,174,25,2259,0,0,0,0,0,0,0,0,0,0
,,13,1,261,37,3388,0,0,0,0,0,0,0,0,0,0
