name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Carnifex,4,1,0,284,24,4031,39,0,0,0.1,1.5,0,0.2,974,974,0
,,2,0,426,36,4703,47,0,0,0.1,1.5,0,0.2,1072,1072,0
,,3,0,567,48,5375,55,0,0,0.1,1.5,0,0.2,1169,1169,0
,,4,0,709,60,6047,62,0,0,0.1,1.5,0,0.2,1267,1267,0
,,5,0,851,72,6718,70,0,0,0.1,1.5,0,0.2,1364,1364,0
,,6,0,993,84,7390,78,0,0,0.1,1.5,0,0.2,1462,1462,0
,,7,0,4869,410,33318,145,0,0,0.1,1.5,0,0.2,1559,1559,0
,,8,0,5952,501,38443,158,0,0,0.1,1.5,0,0.2,1656,1656,0
,,9,0,7034,592,43569,171,0,0,0.1,1.5,0,0.2,1754,1754,0
,,10,0,8116,683,48695,184,0,0,0.1,1.5,0,0.2,1851,1851,0
,,11,0,9198,775,53821,197,0,0,0.1,1.5,0,0.2,1949,1949,0
,,12,0,10280,866,58946,210,0,0,0.1,1.5,0,0.2,2046,2046,0
,,13,0,15420,1299,88419,252,0,0,0.1,1.5,0,0.2,2250,2250,0
,,6,1,28,5,336,0,0,0,0,0,0,0,0,0,0
,,12,1,216,36,2563,0,0,0,0,0,0,0,0,0,0
,,13,1,324,54,3844,0,0,0,0,0,0,0,0,0,0
