name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Amiable Angel,3,1,0,328,44,5521,28,0,0.2,0.1,1.5,0,0,717,695,0
,,2,0,534,72,8972,33,0,0.2,0.1,1.5,0,0,789,765,0
,,3,0,780,105,13113,39,0,0.2,0.1,1.5,0,0,861,835,0
,,4,0,1354,182,22776,45,0,0.2,0.1,1.5,0,0,933,904,0
,,5,0,2010,271,33817,50,0,0.2,0.1,1.5,0,0,1004,974,0
,,6,0,2913,392,49001,64,0,0.2,0.1,1.5,0,0,1076,1043,0
,,7,0,5210,701,87649,78,0,0.2,0.1,1.5,0,0,1148,1113,0
,,8,0,6604,888,111114,92,0,0.2,0.1,1.5,0,0,1220,1182,0
,,9,0,8328,1120,140102,106,0,0.2,0.1,1.5,0,0,1291,1252,0
,,10,0,10379,1396,174609,120,0,0.2,0.1,1.5,0,0,1363,1321,0
,,11,0,12840,1726,216018,134,0,0.2,0.1,1.5,0,0,1435,1391,0
,,12,0,15794,2124,265709,147,0,0.2,0.1,1.5,0,0,1507,1460,0
,,13,0,23691,3186,398563,176,0,0.2,0.1,1.5,0,0,1657,1606,0
,,1,1,16,2,276,0,0,0,0,0,0,0,0,0,0
,,2,1,20,3,345,0,0,0,0,0,0,0,0,0,0
,,3,1,25,3,414,0,0,0,0,0,0,0,0,0,0
,,4,1,29,4,483,0,0,0,0,0,0,0,0,0,0
,,5,1,33,4,552,0,0,0,0,0,0,0,0,0,0
,,6,1,45,6,759,0,0,0,0,0,0,0,0,0,0
,,7,1,57,8,966,0,0,0,0,0,0,0,0,0,0
,,8,1,70,9,1173,0,0,0,0,0,0,0,0,0,0
,,9,1,86,12,1449,0,0,0,0,0,0,0,0,0,0
,,10,1,103,14,1725,0,0,0,0,0,0,0,0,0,0
,,11,1,123,17,2070,0,0,0,0,0,0,0,0,0,0
,,12,1,148,20,2485,0,0,0,0,0,0,0,0,0,0
,,13,1,222,30,3727,0,0,0,0,0,0,0,0,0,0
