name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Holy Knight,2,1,0,476,86,7830,26,0,0,0.1,1.5,0,0,684,644,0
,,2,0,774,140,12724,31,0,0,0.1,1.5,0,0,753,709,0
,,3,0,1133,205,18597,36,0,0,0.1,1.5,0,0,821,773,0
,,4,0,1967,355,32299,41,0,0,0.1,1.5,0,0,890,837,0
,,5,0,2921,527,47959,46,0,0,0.1,1.5,0,0,958,902,0
,,6,0,4232,763,69493,59,0,0,0.1,1.5,0,0,1027,966,0
,,7,0,7570,1366,124303,72,0,0,0.1,1.5,0,0,1095,1031,0
,,8,0,9596,1731,157581,85,0,0,0.1,1.5,0,0,1164,1095,0
,,9,0,12100,2184,198689,98,0,0,0.1,1.5,0,0,1232,1160,0
,,10,0,15080,2721,247628,111,0,0,0.1,1.5,0,0,1300,1224,0
,,11,0,18656,3366,306353,124,0,0,0.1,1.5,0,0,1369,1288,0
,,12,0,22947,4140,376824,137,0,0,0.1,1.5,0,0,1437,1353,0
,,13,0,35759,6450,587266,169,0,0,0.1,1.5,0,0,1599,1520,0
,,1,1,24,4,391,0,0,0,0,0,0,0,0,0,0
,,2,1,30,5,489,0,0,0,0,0,0,0,0,0,0
,,3,1,36,6,587,0,0,0,0,0,0,0,0,0,0
,,4,1,42,7,685,0,0,0,0,0,0,0,0,0,0
,,5,1,48,9,783,0,0,0,0,0,0,0,0,0,0
,,6,1,66,12,1077,0,0,0,0,0,0,0,0,0,0
,,7,1,83,15,1370,0,0,0,0,0,0,0,0,0,0
,,8,1,101,18,1664,0,0,0,0,0,0,0,0,0,0
,,9,1,125,23,2055,0,0,0,0,0,0,0,0,0,0
,,10,1,149,27,2447,0,0,0,0,0,0,0,0,0,0
,,11,1,179,32,2936,0,0,0,0,0,0,0,0,0,0
,,12,1,215,39,3524,0,0,0,0,0,0,0,0,0,0
,,13,1,320,64,5246,0,0,0,0,0,0,0,0,0,0
