name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Enule,5,1,0,502,72,6525,32,0,0,0.1,1.5,0,0,805,805,0
,,2,0,815,117,10603,39,0,0,0.1,1.5,0,0,886,886,0
,,3,0,1192,171,15497,45,0,0,0.1,1.5,0,0,966,966,0
,,4,0,2070,296,26916,52,0,0,0.1,1.5,0,0,1047,1047,0
,,5,0,3075,439,39966,58,0,0,0.1,1.5,0,0,1127,1127,0
,,6,0,4455,637,57911,74,0,0,0.1,1.5,0,0,1208,1208,0
,,7,0,7968,1139,103586,90,0,0,0.1,1.5,0,0,1288,1288,0
,,8,0,10101,1443,131317,106,0,0,0.1,1.5,0,0,1369,1369,0
,,9,0,12737,1819,165574,122,0,0,0.1,1.5,0,0,1449,1449,0
,,10,0,15873,2267,206356,139,0,0,0.1,1.5,0,0,1530,1530,0
,,11,0,19638,2805,255295,155,0,0,0.1,1.5,0,0,1611,1611,0
,,12,0,24155,3451,314020,171,0,0,0.1,1.5,0,0,1691,1691,0
,,13,0,37635,5381,489370,213,0,0,0.1,1.5,0,0,1886,1886,0
,,1,1,25,4,326,0,0,0,0,0,0,0,0,0,0
,,2,1,31,5,408,0,0,0,0,0,0,0,0,0,0
,,3,1,38,5,489,0,0,0,0,0,0,0,0,0,0
,,4,1,44,6,571,0,0,0,0,0,0,0,0,0,0
,,5,1,50,7,653,0,0,0,0,0,0,0,0,0,0
,,6,1,69,10,897,0,0,0,0,0,0,0,0,0,0
,,7,1,88,13,1142,0,0,0,0,0,0,0,0,0,0
,,8,1,107,15,1387,0,0,0,0,0,0,0,0,0,0
,,9,1,132,19,1713,0,0,0,0,0,0,0,0,0,0
,,10,1,157,22,2039,0,0,0,0,0,0,0,0,0,0
,,11,1,188,27,2447,0,0,0,0,0,0,0,0,0,0
,,12,1,226,32,2936,0,0,0,0,0,0,0,0,0,0
,,13,1,341,39,4358,0,0,0,0,0,0,0,0,0,0
