name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Aris,4,1,0,366,44,3764,32,0,0,0.1,1.5,0,0,805,805,0
,,2,0,596,72,6117,39,0,0,0.1,1.5,0,0,886,886,0
,,3,0,871,105,8941,45,0,0,0.1,1.5,0,0,966,966,0
,,4,0,1513,182,15529,52,0,0,0.1,1.5,0,0,1047,1047,0
,,5,0,2246,271,23057,58,0,0,0.1,1.5,0,0,1127,1127,0
,,6,0,3255,392,33409,74,0,0,0.1,1.5,0,0,1208,1208,0
,,7,0,5823,701,59761,90,0,0,0.1,1.5,0,0,1288,1288,0
,,8,0,7382,888,75760,106,0,0,0.1,1.5,0,0,1369,1369,0
,,9,0,9307,1120,95524,122,0,0,0.1,1.5,0,0,1449,1449,0
,,10,0,11600,1396,119052,139,0,0,0.1,1.5,0,0,1530,1530,0
,,11,0,14351,1726,147286,155,0,0,0.1,1.5,0,0,1611,1611,0
,,12,0,17652,2124,181166,171,0,0,0.1,1.5,0,0,1691,1691,0
,,13,0,26478,3186,271749,205,0,0,0.1,1.5,0,0,1860,1860,0
,,1,1,18,2,188,0,0,0,0,0,0,0,0,0,0
,,2,1,23,3,235,0,0,0,0,0,0,0,0,0,0
,,3,1,28,3,282,0,0,0,0,0,0,0,0,0,0
,,4,1,32,4,329,0,0,0,0,0,0,0,0,0,0
,,5,1,37,4,376,0,0,0,0,0,0,0,0,0,0
,,6,1,50,6,518,0,0,0,0,0,0,0,0,0,0
,,7,1,64,8,659,0,0,0,0,0,0,0,0,0,0
,,8,1,78,9,800,0,0,0,0,0,0,0,0,0,0
,,9,1,96,12,988,0,0,0,0,0,0,0,0,0,0
,,10,1,115,14,1176,0,0,0,0,0,0,0,0,0,0
,,11,1,138,17,1412,0,0,0,0,0,0,0,0,0,0
,,12,1,165,20,1694,0,0,0,0,0,0,0,0,0,0
,,13,1,247,30,2541,0,0,0,0,0,0,0,0,0,0
