name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Sephion,1,1,0,348,50,4267,26,0,0.3,0.1,1.5,0,0,732,659,0
,,2,0,564,80,6933,32,0,0.3,0.1,1.5,0,0,805,725,0
,,3,0,825,118,10133,37,0,0.3,0.1,1.5,0,0,878,791,0
,,4,0,1433,205,17599,42,0,0.3,0.1,1.5,0,0,952,856,0
,,5,0,2129,304,26132,47,0,0.3,0.1,1.5,0,0,1025,922,0
,,6,0,3084,441,37864,61,0,0.3,0.1,1.5,0,0,1098,988,0
,,7,0,5517,788,67729,74,0,0.3,0.1,1.5,0,0,1171,1054,0
,,8,0,6993,999,85862,87,0,0.3,0.1,1.5,0,0,1244,1120,0
,,9,0,8818,1260,108260,100,0,0.3,0.1,1.5,0,0,1318,1186,0
,,10,0,10989,1570,134925,113,0,0.3,0.1,1.5,0,0,1391,1252,0
,,11,0,13596,1943,166923,126,0,0.3,0.1,1.5,0,0,1464,1318,0
,,12,0,16723,2389,205321,140,0,0.3,0.1,1.5,0,0,1537,1384,0
,,13,0,25084,3583,307981,168,0,0.3,0.1,1.5,0,0,1690,1522,0
,,1,1,17,3,213,0,0,0,0,0,0,0,0,0,0
,,2,1,22,3,267,0,0,0,0,0,0,0,0,0,0
,,3,1,26,4,320,0,0,0,0,0,0,0,0,0,0
,,4,1,30,4,373,0,0,0,0,0,0,0,0,0,0
,,5,1,35,5,427,0,0,0,0,0,0,0,0,0,0
,,6,1,48,7,587,0,0,0,0,0,0,0,0,0,0
,,7,1,61,9,747,0,0,0,0,0,0,0,0,0,0
,,8,1,74,11,907,0,0,0,0,0,0,0,0,0,0
,,9,1,91,13,1120,0,0,0,0,0,0,0,0,0,0
,,10,1,109,16,1333,0,0,0,0,0,0,0,0,0,0
,,11,1,130,19,1600,0,0,0,0,0,0,0,0,0,0
,,12,1,156,22,1920,0,0,0,0,0,0,0,0,0,0
,,13,1,234,33,2880,0,0,0,0,0,0,0,0,0,0
