name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Bloodseeker,2,1,0,366,66,6024,23,0,0,0.1,1.5,0,0,622,586,0
,,2,0,596,108,9788,28,0,0,0.1,1.5,0,0,684,644,0
,,3,0,871,157,14306,33,0,0,0.1,1.5,0,0,747,703,0
,,4,0,1513,273,24846,37,0,0,0.1,1.5,0,0,809,761,0
,,5,0,2246,406,36892,42,0,0,0.1,1.5,0,0,871,820,0
,,6,0,3255,587,53456,54,0,0,0.1,1.5,0,0,933,878,0
,,7,0,5823,1051,95618,66,0,0,0.1,1.5,0,0,996,937,0
,,8,0,7382,1332,121216,77,0,0,0.1,1.5,0,0,1058,996,0
,,9,0,9307,1680,152837,89,0,0,0.1,1.5,0,0,1120,1054,0
,,10,0,11600,2093,190483,101,0,0,0.1,1.5,0,0,1182,1113,0
,,11,0,14351,2589,235656,112,0,0,0.1,1.5,0,0,1244,1171,0
,,12,0,17652,3186,289864,124,0,0,0.1,1.5,0,0,1307,1230,0
,,13,0,26478,4779,434796,148,0,0,0.1,1.5,0,0,1437,1353,0
,,1,1,18,3,301,0,0,0,0,0,0,0,0,0,0
,,2,1,23,4,376,0,0,0,0,0,0,0,0,0,0
,,3,1,28,5,452,0,0,0,0,0,0,0,0,0,0
,,4,1,32,6,527,0,0,0,0,0,0,0,0,0,0
,,5,1,37,7,602,0,0,0,0,0,0,0,0,0,0
,,6,1,50,9,828,0,0,0,0,0,0,0,0,0,0
,,7,1,64,12,1054,0,0,0,0,0,0,0,0,0,0
,,8,1,78,14,1280,0,0,0,0,0,0,0,0,0,0
,,9,1,96,17,1581,0,0,0,0,0,0,0,0,0,0
,,10,1,115,21,1882,0,0,0,0,0,0,0,0,0,0
,,11,1,138,25,2259,0,0,0,0,0,0,0,0,0,0
,,12,1,165,30,2710,0,0,0,0,0,0,0,0,0,0
,,13,1,247,45,4065,0,0,0,0,0,0,0,0,0,0
