name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Zalidus,4,1,0,476,57,4894,35,0,0,0.1,1.5,0,0,886,886,0
,,2,0,774,94,7953,43,0,0,0.1,1.5,0,0,974,974,0
,,3,0,1133,136,11623,50,0,0,0.1,1.5,0,0,1063,1063,0
,,4,0,1967,237,20187,57,0,0,0.1,1.5,0,0,1152,1152,0
,,5,0,2921,351,29975,64,0,0,0.1,1.5,0,0,1240,1240,0
,,6,0,4232,509,43432,81,0,0,0.1,1.5,0,0,1329,1329,0
,,7,0,7570,911,77690,99,0,0,0.1,1.5,0,0,1417,1417,0
,,8,0,9596,1154,98489,117,0,0,0.1,1.5,0,0,1506,1506,0
,,9,0,12100,1455,124180,135,0,0,0.1,1.5,0,0,1594,1594,0
,,10,0,15080,1814,154767,152,0,0,0.1,1.5,0,0,1683,1683,0
,,11,0,18656,2244,191470,170,0,0,0.1,1.5,0,0,1772,1772,0
,,12,0,22947,2761,235516,188,0,0,0.1,1.5,0,0,1860,1860,0
,,13,0,35759,4311,367056,230,0,0,0.1,1.5,0,0,2075,2075,0
,,1,1,24,3,245,0,0,0,0,0,0,0,0,0,0
,,2,1,30,4,306,0,0,0,0,0,0,0,0,0,0
,,3,1,36,4,367,0,0,0,0,0,0,0,0,0,0
,,4,1,42,5,428,0,0,0,0,0,0,0,0,0,0
,,5,1,48,6,489,0,0,0,0,0,0,0,0,0,0
,,6,1,66,8,673,0,0,0,0,0,0,0,0,0,0
,,7,1,83,10,856,0,0,0,0,0,0,0,0,0,0
,,8,1,101,12,1040,0,0,0,0,0,0,0,0,0,0
,,9,1,125,15,1285,0,0,0,0,0,0,0,0,0,0
,,10,1,149,18,1529,0,0,0,0,0,0,0,0,0,0
,,11,1,179,22,1835,0,0,0,0,0,0,0,0,0,0
,,12,1,215,26,2202,0,0,0,0,0,0,0,0,0,0
,,13,1,320,33,3269,0,0,0,0,0,0,0,0,0,0
