name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Karos,3,1,0,427,57,7178,31,0,0.2,0.1,1.5,0,0,789,765,0
,,2,0,693,94,11663,37,0,0.2,0.1,1.5,0,0,868,841,0
,,3,0,1013,136,17047,43,0,0.2,0.1,1.5,0,0,947,918,0
,,4,0,1760,237,29608,49,0,0.2,0.1,1.5,0,0,1026,994,0
,,5,0,2614,351,43963,55,0,0.2,0.1,1.5,0,0,1105,1071,0
,,6,0,3786,509,63701,70,0,0.2,0.1,1.5,0,0,1184,1147,0
,,7,0,6773,911,113945,86,0,0.2,0.1,1.5,0,0,1263,1224,0
,,8,0,8587,1154,144449,101,0,0.2,0.1,1.5,0,0,1342,1300,0
,,9,0,10826,1455,182131,116,0,0.2,0.1,1.5,0,0,1420,1377,0
,,10,0,13493,1814,226992,132,0,0.2,0.1,1.5,0,0,1499,1453,0
,,11,0,16693,2244,280823,147,0,0.2,0.1,1.5,0,0,1578,1530,0
,,12,0,20533,2761,345422,162,0,0.2,0.1,1.5,0,0,1657,1606,0
,,13,0,30799,4141,518133,194,0,0.2,0.1,1.5,0,0,1822,1766,0
,,1,1,21,3,359,0,0,0,0,0,0,0,0,0,0
,,2,1,27,4,449,0,0,0,0,0,0,0,0,0,0
,,3,1,32,4,538,0,0,0,0,0,0,0,0,0,0
,,4,1,37,5,628,0,0,0,0,0,0,0,0,0,0
,,5,1,43,6,718,0,0,0,0,0,0,0,0,0,0
,,6,1,59,8,987,0,0,0,0,0,0,0,0,0,0
,,7,1,75,10,1256,0,0,0,0,0,0,0,0,0,0
,,8,1,91,12,1525,0,0,0,0,0,0,0,0,0,0
,,9,1,112,15,1884,0,0,0,0,0,0,0,0,0,0
,,10,1,133,18,2243,0,0,0,0,0,0,0,0,0,0
,,11,1,160,22,2692,0,0,0,0,0,0,0,0,0,0
,,12,1,192,26,3230,0,0,0,0,0,0,0,0,0,0
,,13,1,288,39,4845,0,0,0,0,0,0,0,0,0,0
